
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000229                       # Number of seconds simulated (Second)
simTicks                                    229223000                       # Number of ticks simulated (Tick)
finalTick                                   229223000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.70                       # Real time elapsed on the host (Second)
hostTickRate                                327159040                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8545532                       # Number of bytes of host memory used (Byte)
simInsts                                       130292                       # Number of instructions simulated (Count)
simOps                                         253050                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   185922                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     361091                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           229224                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.759310                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.568405                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          385197                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      159                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         344590                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1747                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               132300                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            210388                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  72                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              176849                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.948498                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.634605                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     97586     55.18%     55.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     11257      6.37%     61.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     10099      5.71%     67.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      9218      5.21%     72.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     10562      5.97%     78.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      9513      5.38%     83.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     12446      7.04%     90.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      8352      4.72%     95.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      7816      4.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                176849                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    7754     82.99%     82.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     82.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     82.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     82.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     82.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     82.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     82.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     82.99% # attempts to use FU when none available (Count)
